   1 	    10.7774 
   2 	    19.4984 
   3 	    27.8649 
   4 	    36.5309 
   5 	    45.3027 
   6 	    53.8639 
   7 	    62.4347 
   8 	    71.0893 
   9 	    79.8538 
  10 	    88.4766 
  11 	    97.0313 
  12 	   105.6316 
  13 	   114.1449 
  14 	   122.8111 
  15 	   131.3276 
  16 	   139.9864 
  17 	   148.7483 
  18 	   157.4112 
  19 	   165.8934 
  20 	   174.5242 
  21 	   183.1250 
  22 	   191.7757 
  23 	   200.4008 
  24 	   209.0077 
  25 	   217.6597 
  26 	   226.2988 
  27 	   234.9730 
  28 	   243.5843 
  29 	   252.1092 
  30 	   260.7497 
  31 	   269.4264 
