   1 	    42.5693 
   2 	    51.0955 
   3 	    59.7183 
   4 	    68.2820 
   5 	    76.9425 
   6 	    85.5723 
   7 	    94.0442 
   8 	   102.6905 
   9 	   111.2846 
  10 	   119.9798 
  11 	   128.4310 
  12 	   137.1412 
  13 	   145.7114 
  14 	   154.1257 
  15 	   162.7875 
  16 	   171.4714 
  17 	   180.2071 
  18 	   188.7662 
  19 	   197.2086 
  20 	   205.9885 
  21 	   214.6222 
  22 	   223.0011 
  23 	   231.8901 
  24 	   240.3010 
  25 	   248.9550 
  26 	   257.6999 
  27 	   266.2393 
  28 	   274.8380 
  29 	   283.6032 
  30 	   292.2807 
  31 	   300.7043 
