   1 	     5.1374 
   2 	    13.5814 
   3 	    22.0674 
   4 	    30.9218 
   5 	    39.5508 
   6 	    48.3397 
   7 	    56.8111 
   8 	    65.4522 
   9 	    73.8730 
  10 	    82.7986 
  11 	    91.2869 
  12 	   100.0059 
  13 	   108.8487 
  14 	   117.5143 
  15 	   126.0625 
  16 	   134.6620 
  17 	   143.3594 
  18 	   151.8885 
  19 	   160.5102 
  20 	   169.2421 
  21 	   177.9100 
  22 	   186.4369 
  23 	   194.9300 
  24 	   203.7472 
  25 	   212.1313 
  26 	   220.8298 
  27 	   229.5616 
  28 	   238.2306 
  29 	   246.7747 
  30 	   255.4638 
