   1 	    46.0723 
   2 	    54.5188 
   3 	    63.1905 
   4 	    71.7849 
   5 	    80.3651 
   6 	    88.8923 
   7 	    97.6394 
   8 	   106.0964 
   9 	   114.8345 
  10 	   123.5843 
  11 	   132.0515 
  12 	   140.7857 
  13 	   149.3263 
  14 	   157.8126 
  15 	   166.3296 
  16 	   175.2424 
  17 	   183.9366 
  18 	   192.2721 
  19 	   201.0915 
  20 	   209.6846 
  21 	   218.3636 
  22 	   226.8757 
  23 	   235.2679 
  24 	   244.0321 
  25 	   252.8089 
  26 	   261.5155 
  27 	   269.8852 
  28 	   278.5849 
  29 	   287.1845 
  30 	   295.8508 
  31 	   304.6204 
